Header:
v=0.500000
T=0.354797
zeta=1.000000
Body:
x_b,dx_b,y_b,dy_b,theta_b,dtheta_b,x_f,dx_f,y_f,dy_f,theta_f,dtheta_f,u_x,u_y,u_theta,t
0.023877,0.571875,0.218388,1.103004,-0.028064,-10.087854,0.019227,0.016448,-0.025446,0.034399,-0.791234,50.675497,13.582425,19.901082,0.464105,0.170303
0.025926,0.608297,0.222343,1.124838,-0.026335,-6.963523,0.019302,0.008344,-0.025548,0.039320,-0.792414,45.053960,12.074506,20.009394,1.374364,0.173851
0.028110,0.640438,0.226376,1.146980,-0.017354,-0.739366,0.019344,0.003185,-0.025605,0.021643,-0.793055,22.864589,10.566586,20.117707,2.284624,0.177399
0.030270,0.549629,0.230186,0.957428,-0.003279,4.128745,0.019989,0.554985,-0.024603,0.957998,-0.788644,4.135262,-1.007900,-0.107366,-0.001022,0.180947
0.032183,0.546806,0.233402,0.922787,0.011161,4.125311,0.021987,0.569098,-0.021377,0.925162,-0.774102,4.152434,-1.007900,-0.107366,-0.001022,0.184495
0.034095,0.543984,0.236599,0.888147,0.025598,4.121876,0.023993,0.583210,-0.018171,0.892325,-0.759550,4.169605,-1.007900,-0.107366,-0.001022,0.188042
0.035996,0.541161,0.239676,0.853506,0.040023,4.118442,0.026047,0.597323,-0.015077,0.859489,-0.744938,4.186777,-1.007900,-0.107366,-0.001022,0.191590
0.037881,0.538339,0.242547,0.818866,0.054428,4.115008,0.028186,0.611436,-0.012180,0.826652,-0.730224,4.203949,-1.007900,-0.107366,-0.001022,0.195138
0.039764,0.535516,0.245390,0.784225,0.068831,4.111573,0.030336,0.625548,-0.009308,0.793816,-0.715497,4.221120,-1.007900,-0.107366,-0.001022,0.198686
0.041634,0.532694,0.248078,0.749585,0.083217,4.108139,0.032549,0.639661,-0.006583,0.760979,-0.700693,4.238292,-1.007900,-0.107366,-0.001022,0.202234
0.043490,0.529871,0.250602,0.714944,0.097588,4.104705,0.034829,0.653773,-0.004014,0.728143,-0.685807,4.255464,-1.007900,-0.107366,-0.001022,0.205782
0.045345,0.527049,0.253104,0.680304,0.111956,4.101270,0.037118,0.667886,-0.001466,0.695306,-0.670910,4.272635,-1.007900,-0.107366,-0.001022,0.209330
0.047182,0.524226,0.255391,0.645663,0.126304,4.097836,0.039494,0.681999,0.000879,0.662470,-0.655907,4.289807,-1.007900,-0.107366,-0.001022,0.212878
0.049010,0.521404,0.257569,0.611023,0.140640,4.094402,0.041915,0.696111,0.003119,0.629633,-0.640850,4.306979,-1.007900,-0.107366,-0.001022,0.216426
0.050838,0.518581,0.259742,0.576382,0.154976,4.090967,0.044338,0.710224,0.005355,0.596797,-0.625790,4.324150,-1.007900,-0.107366,-0.001022,0.219974
